Rk;Squad;Country;LgRk;MP;W;D;L;GF;GA;GD;Pts;Pts/MP;xG;xGA;xGD;xGD/90;Attendance;Top Team Scorer;Goalkeeper;Anno;# Pl;Poss;90s;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Succ;Att;Succ%;Mis;Dis;Rec;Prog
55;Hellas Verona;it ITA;9;38;12;13;13;47;51;-4;49;1.29;50.5;53.7;-3.2;-0.08;11248;Samuel Di Carmine - 8;Marco Silvestri;19-20;30;49.8;38;21572;2379;6438;10308;5055;740;21563;328;546;60.1;536;307;13177;1109
61;Hertha BSC;de GER;10;34;11;8;15;48;59;-11;41;1.21;43.1;54.5;-11.4;-0.34;37689;Vedad Ibiševi?, Dodi Lukebakio - 7;Rune Jarstein;19-20;32;44.7;34;18806;2251;6614;8963;3450;520;18803;351;526;66.7;519;348;11209;806
29;Hoffenheim;de GER;6;34;15;7;12;53;53;0;52;1.53;56.1;59.6;-3.4;-0.1;20449;Andrej Kramari? - 12;Oliver Baumann;19-20;31;51.6;34;21795;2508;8102;9873;4021;703;21791;299;512;58.4;478;324;14227;958
7;Inter;it ITA;2;38;24;10;4;81;36;45;82;2.16;69.4;40.7;28.7;0.76;41558;Romelu Lukaku - 23;Samir Handanovi?;19-20;29;54.2;38;24656;2447;7453;11419;6004;1011;24645;311;498;62.4;515;292;17045;1351
5;Juventus;it ITA;1;38;26;5;7;76;43;33;83;2.18;71.1;44.9;26.1;0.69;25102;Cristiano Ronaldo - 31;Wojciech Szcz?sny;19-20;30;58.1;38;27332;2030;6576;13479;7510;855;27318;434;689;63;510;293;19999;1270
77;Köln;de GER;14;34;10;6;18;51;69;-18;36;1.06;48.9;53.3;-4.4;-0.13;35094;Jhon Córdoba - 13;Timo Horn;19-20;29;46.7;34;18990;2175;6641;8591;3959;618;18986;272;450;60.4;570;299;11037;874
10;Lazio;it ITA;4;38;24;6;8;79;42;37;78;2.05;68;51.1;16.9;0.44;26363;Ciro Immobile - 36;Thomas Strakosha;19-20;27;50.4;38;23217;2363;7010;10454;6007;932;23199;360;580;62.1;503;270;15675;1230
86;Lecce;it ITA;18;38;9;8;21;52;85;-33;35;0.92;54.7;85.6;-30.8;-0.81;15939;Marco Mancosu - 14;Gabriel;19-20;30;44.8;38;21029;2785;7579;9038;4638;715;21015;296;464;63.8;481;318;13502;978
84;Leganés;es ESP;18;38;8;12;18;30;51;-21;36;0.95;39.9;42.8;-2.9;-0.08;7539;Óscar Rodríguez Arnaiz - 9;Iván Cuéllar;19-20;29;43.9;38;18717;1774;5797;8420;4727;630;18712;342;581;58.9;544;291;10195;808
24;Leicester City;eng ENG;5;38;18;8;12;67;41;26;62;1.63;62.2;45.5;16.7;0.44;25312;Jamie Vardy - 23;Kasper Schmeichel;19-20;24;57.1;38;26145;2196;7811;12196;6353;919;26138;377;688;54.8;602;328;17423;1164
56;Levante;es ESP;12;38;14;7;17;47;53;-6;49;1.29;48.1;62.9;-14.8;-0.39;13196;Roger Martí - 11;Aitor Fernández;19-20;29;48.3;38;20099;2486;7634;8264;4392;625;20094;386;637;60.6;537;302;12232;983
15;Leverkusen;de GER;5;34;19;6;9;61;44;17;63;1.85;59.1;51.2;7.9;0.23;21236;Kai Havertz - 12;Lukáš Hrádecký;19-20;24;63.2;34;26738;2252;7682;14012;5273;833;26736;450;710;63.4;600;360;18862;1105
20;Lille;fr FRA;4;28;15;4;9;35;27;8;49;1.75;40.3;31.4;8.8;0.32;36404;Victor Osimhen - 13;Mike Maignan;19-20;25;52.9;28;17205;1260;4065;9236;4080;544;17197;307;522;58.8;442;300;11127;793
1;Liverpool;eng ENG;1;38;32;3;3;85;33;52;99;2.61;68.9;37.7;31.2;0.82;41955;Mohamed Salah - 19;Alisson;19-20;24;62.9;38;29602;2083;7175;14848;7811;1181;29597;387;658;58.8;607;306;21083;1404
36;Lyon;fr FRA;7;28;11;7;10;42;27;15;40;1.43;37.6;27.1;10.6;0.38;47299;Moussa Dembélé - 16;Anthony Lopes;19-20;27;56.2;28;19123;1637;5464;9809;4026;550;19117;341;578;59;484;293;13146;872
14;M'Gladbach;de GER;4;34;20;5;9;66;40;26;65;1.91;72;45.9;26.1;0.77;36078;Alassane Pléa, Marcus Thuram - 10;Yann Sommer;19-20;25;52.4;34;21675;2283;7663;9783;4479;769;21669;387;638;60.7;491;321;14138;1017
71;Mainz 05;de GER;13;34;11;4;19;44;65;-21;37;1.09;48.2;59.6;-11.5;-0.34;20694;Robin Quaison - 13;Robin Zentner;19-20;25;43.2;34;18088;2218;6326;7896;4114;630;18085;379;614;61.7;600;346;10078;870
91;Mallorca;es ESP;19;38;9;6;23;40;65;-25;33;0.87;41.1;63.5;-22.4;-0.59;10877;Ante Budimir - 13;Manolo Reina;19-20;32;45;38;19549;2360;6615;8356;4826;683;19539;392;709;55.3;625;353;11615;779
8;Manchester City;eng ENG;2;38;26;3;9;102;35;67;81;2.13;92;36.2;55.7;1.47;37097;Raheem Sterling - 20;Ederson;19-20;24;66.2;38;31760;2020;6813;15580;9621;1461;31750;487;721;67.5;456;341;24373;1612
21;Manchester Utd;eng ENG;3;38;18;12;8;66;36;30;66;1.74;62.2;37.7;24.5;0.64;57415;Anthony Martial, Marcus Rashford - 17;David de Gea;19-20;29;55.8;38;25714;2171;7214;11804;6923;874;25700;446;747;59.7;559;396;17571;1242
12;Marseille;fr FRA;2;28;16;8;4;41;29;12;56;2;36.2;31.8;4.4;0.16;52805;Darío Benedetto - 11;Steve Mandanda;19-20;23;53.5;28;17964;1491;5079;8934;4152;514;17958;316;510;62;441;298;11800;742
60;Metz;fr FRA;15;28;8;10;10;27;35;-8;34;1.21;27.1;38.1;-11;-0.39;16583;Habib Diallo - 12;Alexandre Oukidja;19-20;24;45.3;28;15799;1648;5218;7705;3098;366;15795;337;561;60.1;461;302;9465;589
22;Milan;it ITA;6;38;19;9;10;63;46;17;66;1.74;62.8;45.1;17.7;0.46;34078;Ante Rebi? - 11;Gianluigi Donnarumma;19-20;32;54.9;38;24699;2267;6844;11695;6434;930;24690;402;656;61.3;598;342;16902;1249
38;Monaco;fr FRA;9;28;11;7;10;44;44;0;40;1.43;48.8;42.7;6.1;0.22;6451;Wissam Ben Yedder - 18;Benjamin Lecomte;19-20;28;50.9;28;17516;1553;4879;8714;4110;655;17512;308;500;61.6;401;259;11571;956
37;Montpellier;fr FRA;8;28;11;7;10;35;34;1;40;1.43;35.3;34.7;0.5;0.02;14147;Andy Delort - 9;Gerónimo Rulli;19-20;27;47.6;28;15883;1641;5099;7391;3556;459;15878;218;449;48.6;461;192;9619;825
52;Nantes;fr FRA;13;28;11;4;13;28;31;-3;37;1.32;30.2;31.5;-1.2;-0.04;24635;Moses Simon, Ludovic Blas - 5;Alban Lafont;19-20;29;48;28;16791;1460;5036;8248;3710;475;16789;322;561;57.4;474;305;10472;710
25;Napoli;it ITA;7;38;18;8;12;61;50;11;62;1.63;61.7;44.7;16.9;0.45;21622;Arkadiusz Milik - 11;Alex Meret;19-20;25;59.2;38;27995;2150;6788;14055;7372;914;27990;362;587;61.7;427;296;21020;1353
65;Newcastle Utd;eng ENG;13;38;11;11;16;38;58;-20;44;1.16;35.5;65.6;-30.1;-0.79;35551;Jonjo Shelvey - 6;Martin Dúbravka;19-20;28;39;38;18851;2415;7121;8155;3825;537;18850;400;674;59.3;594;288;10486;598
34;Nice;fr FRA;5;28;11;8;9;41;38;3;41;1.46;35.7;43.9;-8.2;-0.29;19225;Kasper Dolberg - 11;Walter Benítez;19-20;31;54.6;28;18804;1901;6350;9293;3373;455;18799;364;626;58.1;479;281;13276;869
83;Nîmes;fr FRA;18;28;7;6;15;29;44;-15;27;0.96;30.2;40.5;-10.2;-0.36;12555;Romain Philippoteaux - 5;Paul Bernardoni;19-20;28;45;28;14462;1355;4540;6625;3463;478;14460;233;469;49.7;465;250;8000;676
96;Norwich City;eng ENG;20;38;5;6;27;26;75;-49;21;0.55;37;66.4;-29.5;-0.78;19913;Teemu Pukki - 11;Tim Krul;19-20;30;49.3;38;23264;3130;9050;9799;4644;658;23262;427;706;60.5;591;405;14778;851
46;Osasuna;es ESP;10;38;13;13;12;46;54;-8;52;1.37;49.4;49.4;0.1;0;11453;Ezequiel Ávila - 9;Sergio Herrera;19-20;31;47.4;38;20020;2020;6085;9353;4820;660;20012;315;525;60;611;306;10755;971
95;Paderborn 07;de GER;18;34;4;8;22;37;74;-37;20;0.59;39.2;67.3;-28.1;-0.83;11038;Sven Michel, Dennis Srbeny... - 5;Leopold Zingerle;19-20;27;45.9;34;19367;2489;7838;8001;3802;549;19363;382;689;55.4;655;362;11323;747
2;Paris S-G;fr FRA;1;27;22;2;3;75;24;51;68;2.52;74.2;23.1;51.1;1.89;47517;Kylian Mbappé - 18;Keylor Navas;19-20;31;65.2;27;21826;1335;4728;11996;5271;852;21818;406;675;60.1;410;233;16610;1228
54;Parma;it ITA;11;38;14;7;17;56;57;-1;49;1.29;48.4;64.3;-15.9;-0.42;10245;Andreas Cornelius - 12;Luigi Sepe;19-20;25;43.8;38;20031;2740;7304;8464;4489;723;20025;326;564;57.8;582;355;11976;889
13;RB Leipzig;de GER;3;34;18;12;4;81;37;44;66;1.94;71.3;38.8;32.6;0.96;28819;Timo Werner - 28;Péter Gulácsi;19-20;29;55.3;34;23954;2078;6712;11833;5640;914;23949;388;623;62.3;560;320;16067;1316
4;Real Madrid;es ESP;1;38;26;9;3;70;25;45;87;2.29;67.9;33.3;34.6;0.91;45833;Karim Benzema - 21;Thibaut Courtois;19-20;26;58.8;38;27608;2251;7725;12533;7594;1034;27597;484;769;62.9;518;315;19902;1280
31;Real Sociedad;es ESP;6;38;16;8;14;56;48;8;56;1.47;48.9;43;5.8;0.15;21204;Willian José - 11;Álex Remiro;19-20;27;56.2;38;23944;2345;7559;11326;5263;769;23939;355;591;60.1;552;357;15758;1113
33;Reims;fr FRA;6;28;10;11;7;26;21;5;41;1.46;30.6;28.5;2.1;0.08;12932;Boulaye Dia - 7;Predrag Rajkovi?;19-20;26;48.9;28;16330;1641;5994;7203;3325;481;16325;301;519;58;459;231;10214;747
19;Rennes;fr FRA;3;28;15;5;8;38;24;14;50;1.79;37.1;30.2;6.9;0.25;25893;M'Baye Niang - 10;Edouard Mendy;19-20;26;49.6;28;16361;1674;5498;7973;3090;450;16356;261;488;53.5;435;263;10280;664
16;Roma;it ITA;5;38;21;7;10;77;51;26;70;1.84;73.2;49.4;23.9;0.63;26956;Edin Džeko - 16;Pau López;19-20;31;52.7;38;23190;2273;6676;10880;5891;1000;23176;417;671;62.1;537;282;15771;1156
75;Saint-Étienne;fr FRA;17;28;8;6;14;29;45;-16;30;1.07;31.4;38.8;-7.4;-0.26;23205;Denis Bouanga - 10;Stéphane Ruffier;19-20;31;48.2;28;16277;1537;5349;7810;3296;433;16272;289;485;59.6;476;296;9930;724
69;Sampdoria;it ITA;15;38;12;6;20;48;65;-17;42;1.11;50.2;54.9;-4.7;-0.12;137;Manolo Gabbiadini, Fabio Quagliarella - 11;Emil Audero;19-20;31;42.7;38;20010;2291;6220;9118;4907;694;19998;307;507;60.6;505;295;11747;984
48;Sassuolo;it ITA;8;38;14;9;15;69;63;6;51;1.34;52.9;62;-9.2;-0.24;7704;Francesco Caputo - 21;Andrea Consigli;19-20;31;57.5;38;25800;2457;7377;12645;6047;829;25794;468;757;61.8;522;339;18385;1107
66;Schalke 04;de GER;12;34;9;12;13;38;58;-20;39;1.15;37.8;51.6;-13.8;-0.41;46681;Suat Serdar - 7;Alexander Nübel;19-20;29;49;34;19797;2251;6749;8993;4322;592;19795;421;687;61.3;625;417;11855;905
18;Sevilla;es ESP;4;38;19;13;6;54;34;20;70;1.84;53.2;36.1;17.1;0.45;25016;Lucas Ocampos - 14;Tomáš Vaclík;19-20;26;57.9;38;25517;2236;7799;11630;6307;907;25510;413;667;61.9;541;352;17361;1150
40;Sheffield Utd;eng ENG;9;38;14;12;12;39;39;0;54;1.42;43;51;-7.9;-0.21;2437;Lys Mousset, Oliver McBurnie - 6;Dean Henderson;19-20;26;43.1;38;20914;2190;6217;8893;5995;726;20913;346;535;64.7;519;292;11962;881
47;Southampton;eng ENG;11;38;15;7;16;51;60;-9;52;1.37;56.1;52.8;3.3;0.09;23428;Danny Ings - 22;Alex McCarthy;19-20;25;48.9;38;22134;2135;6212;10729;5451;807;22130;423;680;62.2;654;362;12305;995
97;SPAL;it ITA;20;38;5;5;28;27;77;-50;20;0.53;40.7;68.6;-27.9;-0.73;8241;Andrea Petagna - 12;Etrit Berisha;19-20;34;46.9;38;20672;2631;7320;9006;4594;615;20665;357;519;68.8;518;354;13120;913
43;Strasbourg;fr FRA;10;27;11;5;11;32;32;0;38;1.41;34.2;32.2;2;0.07;24985;Adrien Thomasson, Ludovic Ajorque - 8;Matz Sels;19-20;25;49.6;27;15580;1469;4827;7568;3373;467;15576;257;426;60.3;440;255;9931;739
78;Torino;it ITA;16;38;11;7;20;46;68;-22;40;1.05;44.8;60.8;-16;-0.42;13338;Andrea Belotti - 16;Salvatore Sirigu;19-20;27;47.4;38;20767;2536;7190;9021;4818;734;20759;449;715;62.8;605;360;12408;819
27;Tottenham;eng ENG;6;38;16;11;11;61;47;14;59;1.55;47.9;54.2;-6.3;-0.17;43757;Harry Kane - 18;Hugo Lloris;19-20;29;52;38;24629;2591;7614;11791;5484;699;24626;449;747;60.1;577;437;15942;1042
98;Toulouse;fr FRA;20;28;3;4;21;22;58;-36;13;0.46;31.7;45.6;-13.9;-0.5;142;Efthimis Koulouris - 4;Baptiste Reynet;19-20;30;44.2;28;15516;1762;5127;7091;3472;488;15510;287;471;60.9;475;293;9229;636
64;Udinese;it ITA;13;38;12;9;17;37;51;-14;45;1.18;41.6;53.4;-11.8;-0.31;13841;Kevin Lasagna - 10;Juan Musso;19-20;25;44.7;38;21041;2461;7188;9473;4652;703;21041;350;550;63.6;538;328;13222;944
62;Union Berlin;de GER;11;34;12;5;17;41;58;-17;41;1.21;41.4;54.3;-12.8;-0.38;15467;Sebastian Andersson - 12;Rafa? Gikiewicz;19-20;26;41.9;34;17612;2137;6450;7545;3828;551;17607;259;456;56.8;509;248;9272;690
45;Valencia;es ESP;9;38;14;11;13;46;53;-7;53;1.39;43.3;56;-12.7;-0.33;29658;Maxi Gómez - 10;Jasper Cillessen;19-20;28;49;38;21762;2600;7694;9661;4609;631;21754;345;549;62.8;521;283;14335;984
68;Valladolid;es ESP;13;38;9;15;14;32;43;-11;42;1.11;36.5;54.5;-18;-0.47;1358;Sergi Guardiola - 8;Jordi Masip;19-20;30;44.7;38;19321;2161;6593;9028;3936;478;19316;338;569;59.4;537;324;11038;721
26;Villarreal;es ESP;5;38;18;6;14;63;49;14;60;1.58;63.6;46.3;17.3;0.45;11321;Gerard Moreno - 18;Sergio Asenjo;19-20;25;52.9;38;24034;2541;7871;11219;5175;770;24023;431;690;62.5;601;310;16046;1023
89;Watford;eng ENG;19;38;8;10;20;36;64;-28;34;0.89;48.9;58.1;-9.3;-0.24;15353;Troy Deeney - 10;Ben Foster;19-20;26;42.9;38;20010;2149;6261;8877;5100;803;20002;321;576;55.7;549;348;11082;816
